Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,AvgScore,Min,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKsv,PKm
24,37.0,28,3,0,2,0,38.8,0.26,10.8,0.29,245,443,55.3,198,35.7,35.2,306,25,8.2,49,1.32,17.5,6.36,3330.0,0.76,135,107,81.5,22,8,7,17,45.9,5,2,0
28,31.0,34,1,2,2,0,27.3,0.26,-6.7,-0.22,196,438,44.7,156,42.9,37.8,249,14,5.6,15,0.48,14.3,6.13,2790.0,1.1,99,66,66.7,13,10,8,8,25.8,2,1,0
39,32.0,52,2,1,9,4,42.0,0.29,-6.0,-0.19,262,612,42.8,135,52.5,41.1,306,26,8.5,13,0.41,13.0,6.06,2880.0,1.62,137,91,63.5,11,4,17,8,25.0,5,2,1
25,12.5,31,2,0,6,0,29.0,0.4,-2.0,-0.16,92,266,34.6,61,51.3,43.2,144,25,17.4,16,1.28,17.0,5.88,1126.0,2.48,71,42,59.2,1,2,10,2,18.2,4,0,2
39,20.7,14,3,0,2,2,15.7,0.22,3.7,0.18,87,187,46.5,71,32.5,34.2,167,12,7.2,14,0.68,14.5,6.1,1862.0,0.68,58,48,81.0,17,2,2,11,52.4,4,1,0
30,36.8,58,2,3,10,1,52.1,0.29,-4.9,-0.13,283,620,45.6,160,53.2,43.2,411,36,8.8,19,0.52,13.3,6.24,3316.0,1.57,172,117,67.4,11,10,16,10,27.0,3,1,0
34,38.0,66,6,3,11,0,64.5,0.3,-1.5,-0.04,304,884,34.4,95,72.3,51.6,428,21,4.9,26,0.68,14.4,6.14,3420.0,1.74,199,138,69.8,9,8,21,5,13.2,8,1,1
23,28.2,47,6,4,1,1,43.3,0.31,-2.7,-0.1,213,476,44.7,123,51.1,41.1,285,24,8.4,13,0.46,13.5,6.21,2536.0,1.67,121,80,66.1,7,4,17,7,24.1,10,2,2
33,38.0,30,2,1,2,4,33.2,0.26,7.2,0.19,167,321,52.0,234,24.7,28.5,369,21,5.7,10,0.26,12.9,6.29,3420.0,0.79,119,94,76.5,20,12,6,17,44.7,2,0,0
20,12.9,16,3,0,2,2,19.4,0.28,5.4,0.42,88,229,38.4,25,56.0,42.5,132,13,9.8,3,0.23,13.0,6.5,1158.0,1.24,56,45,76.8,2,7,4,4,30.8,6,2,1
34,33.0,46,2,1,5,3,41.6,0.28,-1.4,-0.04,372,715,52.0,139,53.5,42.7,403,28,6.9,31,0.94,15.1,6.2,2970.0,1.39,143,100,69.2,10,5,18,7,21.2,3,0,1
24,37.0,42,4,1,2,2,43.5,0.24,3.5,0.09,323,791,40.8,114,58.0,43.9,365,21,5.8,20,0.54,13.9,6.27,3330.0,1.14,167,131,77.2,11,8,18,12,32.4,4,0,0
36,13.1,26,5,0,3,0,23.9,0.34,-2.1,-0.16,81,187,43.3,71,36.5,34.9,147,16,10.9,9,0.69,14.3,6.07,1179.0,1.98,59,37,64.4,3,1,9,2,14.3,6,0,1
34,37.0,29,2,2,4,0,26.1,0.25,-2.9,-0.08,173,361,47.9,150,30.5,33.3,223,10,4.5,31,0.84,16.7,6.08,3330.0,0.78,98,70,72.4,28,6,3,18,48.6,2,0,0
30,37.0,45,5,3,5,0,48.3,0.26,3.3,0.09,255,571,44.7,185,42.0,37.4,399,31,7.8,34,0.92,14.6,6.36,3330.0,1.22,160,120,75.0,12,15,10,10,27.0,8,3,0
38,38.0,59,4,2,13,4,55.9,0.28,0.9,0.02,257,653,39.4,170,51.0,39.7,434,16,3.7,14,0.37,12.6,6.29,3420.0,1.55,180,126,69.4,10,10,18,7,18.4,8,3,1
25,35.6,38,2,2,5,0,40.8,0.29,2.8,0.08,153,394,38.8,185,36.8,34.8,318,40,12.6,11,0.31,13.7,6.08,3202.0,1.07,134,95,73.1,16,9,11,14,37.8,3,1,0
22,38.0,49,9,2,5,2,51.2,0.29,4.2,0.11,248,509,48.7,163,45.8,37.9,290,12,4.1,23,0.61,15.2,6.28,3420.0,1.29,153,112,73.9,21,9,8,11,28.9,11,1,1
27,17.0,9,0,1,2,0,11.5,0.34,2.5,0.15,107,194,55.2,74,38.4,36.2,126,6,4.8,2,0.12,12.5,6.06,1530.0,0.53,34,24,73.5,13,3,1,11,64.7,0,0,0
31,27.0,43,2,1,5,1,42.2,0.3,0.2,0.01,182,445,40.9,82,52.1,41.6,275,12,4.4,16,0.59,15.1,6.15,2430.0,1.59,129,89,68.2,11,4,12,6,22.2,6,4,0
21,36.0,51,7,2,6,1,51.8,0.32,1.8,0.05,144,428,33.6,186,32.1,31.8,389,33,8.5,25,0.69,15.0,6.04,3240.0,1.42,142,98,69.0,14,7,15,11,30.6,8,1,0
29,18.0,26,1,1,5,3,22.3,0.34,0.3,0.02,90,214,42.1,94,32.0,33.5,144,20,13.9,16,0.89,15.9,5.97,1620.0,1.44,64,43,60.9,9,3,6,5,27.8,2,0,1
31,35.7,57,4,0,11,2,48.3,0.3,-5.7,-0.16,225,524,42.9,161,43.0,36.7,369,24,6.5,18,0.5,14.1,6.25,3213.0,1.6,144,94,63.2,9,15,12,12,33.3,8,3,1
24,38.0,54,8,1,5,2,56.3,0.25,4.3,0.11,356,766,46.5,172,53.5,42.0,449,34,7.6,11,0.29,12.9,6.45,3420.0,1.42,195,147,76.4,10,11,17,7,18.4,10,2,0
20,14.0,24,3,0,3,0,26.1,0.26,2.1,0.15,72,222,32.4,95,41.9,38.4,157,7,4.5,9,0.64,13.6,6.44,1260.0,1.71,91,70,76.9,5,2,7,3,21.4,4,1,0
23,20.0,21,3,2,1,0,19.0,0.25,-2.0,-0.1,108,276,39.1,81,38.3,36.7,153,8,5.2,17,0.85,15.9,6.22,1800.0,1.05,68,50,73.5,11,6,3,4,20.0,3,0,0
34,38.0,35,3,1,3,3,35.4,0.26,5.4,0.14,172,360,47.8,201,27.6,30.1,337,16,4.7,13,0.34,12.6,6.18,3420.0,0.92,128,101,75.0,20,9,9,17,44.7,5,0,2
19,33.5,40,5,1,5,3,33.5,0.24,-3.5,-0.1,174,482,36.1,160,44.6,40.0,348,23,6.6,28,0.84,15.1,6.01,3015.0,1.19,118,86,70.3,8,15,11,9,26.5,6,1,0
21,12.8,9,2,0,1,0,11.3,0.2,2.3,0.18,36,124,29.0,46,30.0,32.3,114,7,6.1,6,0.47,15.3,6.18,1150.0,0.7,47,40,85.1,9,1,3,5,38.5,2,0,0
35,11.0,6,0,0,2,0,10.4,0.28,4.4,0.4,86,184,46.7,41,47.0,39.6,120,8,6.7,6,0.55,14.6,6.55,990.0,0.55,36,28,83.3,6,4,1,6,54.5,1,1,0
24,29.0,41,8,0,6,1,42.6,0.28,3.6,0.12,259,611,42.4,97,61.2,43.9,360,29,8.1,13,0.45,12.2,6.26,2610.0,1.41,133,101,75.2,9,8,12,7,24.1,8,0,0
28,27.0,43,4,0,7,1,38.2,0.28,-2.8,-0.11,161,364,44.2,154,38.7,36.2,248,10,4.0,10,0.37,12.2,6.0,2430.0,1.59,124,87,68.5,12,8,7,4,14.8,6,0,2
29,16.2,20,1,1,3,0,16.7,0.25,-3.3,-0.2,61,158,38.6,69,30.6,32.8,136,16,11.8,4,0.25,13.6,6.06,1457.0,1.24,63,44,69.8,9,4,3,5,31.3,1,0,0
24,16.0,36,3,0,4,1,28.9,0.26,-6.1,-0.38,86,210,41.0,101,41.7,37.9,212,19,9.0,6,0.38,12.6,5.84,1440.0,2.25,101,69,67.3,4,4,8,0,0.0,4,0,1
27,37.0,60,8,1,9,4,53.2,0.25,-1.8,-0.05,346,784,44.1,129,55.0,44.8,569,38,6.7,10,0.27,11.3,6.09,3330.0,1.62,191,144,72.8,10,11,16,10,27.0,8,0,0
31,35.2,36,2,0,4,0,42.8,0.3,7.8,0.22,310,690,44.9,121,54.4,42.4,323,28,8.7,24,0.68,15.2,6.35,3170.0,1.02,136,103,75.0,15,14,7,14,38.9,4,2,0
27,38.0,56,4,1,5,1,50.4,0.28,-4.6,-0.12,265,607,43.7,221,48.5,40.8,406,41,10.1,9,0.24,12.3,6.11,3420.0,1.47,173,121,69.9,11,11,16,10,26.3,4,0,0
39,31.0,62,2,2,8,2,52.6,0.3,-5.4,-0.17,248,528,47.0,94,54.3,41.2,314,12,3.8,7,0.23,12.0,6.29,2790.0,2.0,167,111,64.1,1,11,19,5,16.1,4,2,0
26,35.0,64,5,2,10,1,56.0,0.27,-7.0,-0.2,190,580,32.8,229,40.4,38.2,404,33,8.2,11,0.31,12.3,6.11,3150.0,1.83,198,140,70.2,5,9,21,8,22.9,5,0,0
23,35.0,39,5,2,5,1,38.3,0.25,0.3,0.01,210,503,41.7,163,45.0,38.3,311,21,6.8,18,0.51,14.8,6.17,3150.0,1.11,129,96,73.6,16,7,12,10,28.6,7,2,0
28,28.0,20,1,0,3,1,24.0,0.28,5.0,0.18,154,290,53.1,120,37.1,36.1,218,21,9.6,21,0.75,15.3,6.14,2520.0,0.71,78,59,75.6,22,5,1,11,39.3,3,1,1
32,16.9,25,4,0,3,0,24.8,0.27,-0.2,-0.01,138,305,45.2,41,48.8,41.4,154,7,4.5,4,0.24,13.2,6.29,1525.0,1.48,82,60,74.4,7,3,7,4,23.5,4,0,0
22,36.0,60,7,0,11,4,52.8,0.29,-3.2,-0.09,203,558,36.4,130,50.1,41.5,399,32,8.0,19,0.53,14.2,6.03,3240.0,1.67,160,110,66.9,12,5,19,9,25.0,8,0,1
30,26.0,41,6,1,2,2,44.1,0.28,2.1,0.08,196,440,44.5,136,46.0,37.4,275,21,7.6,14,0.54,13.6,6.31,2340.0,1.58,142,106,75.4,5,3,18,3,11.5,6,0,0
32,31.0,55,7,1,9,3,49.6,0.32,-2.4,-0.08,141,339,41.6,136,34.2,32.7,291,25,8.6,20,0.65,14.9,6.11,2790.0,1.77,140,93,65.7,12,5,14,5,16.1,8,1,0
25,16.0,21,1,0,2,1,23.6,0.26,3.6,0.23,87,251,34.7,67,51.6,40.7,176,14,8.0,5,0.31,11.5,6.47,1440.0,1.31,86,66,76.7,2,6,8,3,18.8,2,1,0
21,31.0,43,6,2,6,0,43.1,0.29,0.1,0.0,138,380,36.3,195,39.9,37.0,287,19,6.6,14,0.45,12.6,6.21,2790.0,1.39,131,94,71.8,7,12,12,8,25.8,8,2,0
26,33.3,76,10,1,12,3,80.9,0.34,7.9,0.24,147,354,41.5,194,36.1,34.9,382,21,5.5,12,0.36,13.6,6.24,2997.0,2.28,217,153,69.6,6,8,20,2,5.9,12,2,0
24,32.0,42,6,2,4,3,34.6,0.27,-4.4,-0.14,188,422,44.5,171,37.1,37.0,207,15,7.2,37,1.15,15.7,6.15,2884.0,1.31,113,78,68.1,19,9,5,8,24.2,6,0,0
35,35.0,32,2,0,4,1,32.5,0.28,1.5,0.04,148,284,52.1,187,24.2,29.4,334,21,6.3,12,0.34,12.0,6.16,3150.0,0.91,108,79,72.2,22,10,3,13,37.1,3,1,0
26,29.0,59,9,0,9,3,61.0,0.31,5.0,0.17,161,422,38.2,160,49.7,41.6,356,27,7.6,10,0.34,13.0,6.29,2610.0,2.03,172,123,70.9,5,6,18,5,17.2,10,1,0
22,21.7,33,5,0,3,1,27.7,0.29,-4.3,-0.2,49,133,36.8,85,23.7,28.1,153,8,5.2,6,0.28,12.1,6.16,1951.0,1.52,76,46,63.2,9,5,7,3,14.3,6,1,0
25,38.0,51,8,2,6,0,53.9,0.25,2.9,0.08,218,491,44.4,171,40.9,36.3,363,38,10.5,15,0.39,12.2,6.28,3420.0,1.34,186,139,76.9,12,9,17,14,36.8,10,2,0
29,16.9,24,4,0,1,2,21.9,0.23,-0.1,-0.01,105,278,37.8,62,55.4,45.1,200,12,6.0,4,0.24,11.1,6.41,1524.0,1.42,83,63,75.9,8,5,4,4,23.5,4,0,0
30,16.3,17,2,1,2,0,18.0,0.31,1.0,0.06,54,109,49.5,58,23.5,28.3,127,11,8.7,9,0.55,14.0,6.09,1469.0,1.04,53,36,71.7,9,3,5,4,23.5,2,0,0
26,21.0,38,1,1,4,1,37.0,0.36,0.0,0.0,146,408,35.8,93,56.8,44.6,213,11,5.2,8,0.38,12.3,6.12,1890.0,1.81,99,63,62.6,8,4,9,5,23.8,2,0,1
28,34.0,53,6,1,10,0,53.9,0.26,0.9,0.03,276,562,49.1,114,51.2,41.6,391,12,3.1,8,0.24,13.0,6.26,3060.0,1.56,184,134,74.5,13,6,15,5,14.7,9,3,0
28,35.0,43,7,1,7,1,42.4,0.25,0.4,0.01,193,718,26.9,78,66.3,48.1,366,17,4.6,9,0.26,12.0,6.2,3150.0,1.23,148,108,75.7,11,13,11,9,25.7,7,0,0
32,36.0,64,9,3,9,3,64.9,0.3,3.9,0.11,292,610,47.9,113,48.1,40.0,378,25,6.6,14,0.39,13.3,6.43,3240.0,1.78,189,135,70.9,11,6,19,7,19.4,10,1,0
28,37.0,64,6,2,6,1,57.8,0.3,-5.2,-0.14,197,445,44.3,216,37.7,35.3,320,46,14.4,15,0.41,12.9,5.99,3330.0,1.73,180,122,67.8,12,10,15,2,5.4,8,1,1
24,38.0,42,7,1,8,1,45.6,0.27,4.6,0.12,202,453,44.6,149,40.7,34.5,282,15,5.3,17,0.45,13.9,6.21,3420.0,1.11,145,111,75.9,24,6,8,11,28.9,9,1,1
29,28.8,33,8,1,4,0,34.6,0.22,1.6,0.06,108,200,54.0,156,28.5,32.5,219,11,5.0,22,0.76,15.0,6.19,2591.0,1.15,120,95,79.2,19,4,6,11,37.9,10,1,1
23,37.0,54,7,1,6,1,51.3,0.27,-1.7,-0.05,254,612,41.5,175,44.6,38.5,381,30,7.9,15,0.41,12.7,6.38,3330.0,1.46,165,117,71.5,14,7,16,6,16.2,9,2,0
33,37.0,56,4,0,4,1,57.5,0.3,2.5,0.07,185,409,45.2,161,30.9,30.9,327,29,8.9,26,0.7,15.9,6.38,3330.0,1.51,180,127,71.1,17,10,10,7,18.9,5,1,0
37,36.0,91,5,2,10,2,76.4,0.36,-12.6,-0.35,248,606,40.9,160,42.1,35.4,318,18,5.7,30,0.83,15.1,6.17,3240.0,2.53,203,115,57.6,6,3,27,2,5.6,5,0,0
26,34.0,53,5,1,7,0,55.2,0.29,2.2,0.06,206,485,42.5,129,46.3,37.1,320,31,9.7,15,0.44,12.8,6.37,3060.0,1.56,177,125,72.9,6,10,18,6,17.6,5,0,0
22,35.0,55,8,1,10,1,53.4,0.35,-0.6,-0.02,229,566,40.5,166,51.9,41.9,335,24,7.2,17,0.49,14.3,6.21,3148.0,1.57,128,82,63.3,9,12,15,8,22.2,10,2,0
25,24.0,26,4,0,3,1,24.7,0.32,-0.3,-0.01,117,270,43.3,82,34.5,35.4,135,7,5.2,23,0.96,16.3,6.1,2156.0,1.09,61,38,63.9,14,8,3,9,36.0,6,2,0
36,36.0,33,4,1,3,1,29.5,0.24,-2.5,-0.07,126,261,48.3,149,23.0,28.8,281,16,5.7,14,0.39,12.1,6.03,3240.0,0.92,105,76,72.4,27,7,3,14,37.8,6,2,0
23,22.0,29,2,1,3,1,22.8,0.28,-5.2,-0.23,63,117,53.8,97,18.0,26.7,149,15,10.1,6,0.27,13.0,6.2,1980.0,1.32,79,53,65.8,13,5,4,6,27.3,2,0,0
37,12.8,19,2,1,0,0,15.9,0.25,-3.1,-0.24,70,149,47.0,69,35.3,33.2,112,2,1.8,15,1.17,15.8,6.15,1153.0,1.48,54,36,68.5,6,3,4,5,38.5,3,1,0
24,37.0,74,4,0,11,6,64.4,0.36,-3.6,-0.1,249,668,37.3,172,51.9,40.8,375,36,9.6,21,0.57,14.7,5.99,3330.0,2.0,170,104,58.8,7,11,19,7,18.9,5,1,0
26,35.0,51,13,2,2,0,53.7,0.31,2.7,0.08,185,419,44.2,171,40.2,35.6,292,28,9.6,15,0.43,12.9,6.13,3147.0,1.46,140,102,72.9,9,10,16,8,22.9,13,0,0
31,16.0,12,3,0,0,0,13.2,0.27,1.2,0.07,73,155,47.1,49,29.6,31.4,117,11,9.4,12,0.75,15.4,6.09,1440.0,0.75,39,30,76.9,11,0,5,8,50.0,3,0,0
27,32.0,44,7,0,6,2,47.2,0.28,5.2,0.16,233,624,37.3,136,54.8,41.3,342,17,5.0,9,0.28,12.4,6.25,2879.0,1.38,151,113,75.5,9,11,12,8,25.0,7,0,0
26,29.0,55,6,1,5,0,49.1,0.35,-5.9,-0.2,280,617,45.4,135,42.7,38.3,199,19,9.5,29,1.0,16.3,6.05,2610.0,1.9,124,74,60.5,6,10,13,4,13.8,7,1,0
37,29.0,41,8,0,7,2,36.3,0.28,-2.7,-0.09,196,383,51.2,122,34.7,34.2,218,11,5.0,12,0.41,15.3,6.12,2610.0,1.41,107,75,69.2,18,3,8,9,31.0,8,0,0
29,36.0,76,2,0,9,3,60.8,0.34,-12.2,-0.34,351,637,55.1,180,44.2,38.1,416,25,6.0,11,0.31,12.8,6.0,3240.0,2.11,177,103,58.2,3,11,22,5,13.9,2,0,0
29,34.0,42,6,1,7,2,37.5,0.26,-2.5,-0.07,212,746,28.4,79,68.6,47.0,288,10,3.5,13,0.38,13.1,6.21,3060.0,1.24,125,89,71.2,11,9,14,7,20.6,7,0,1
33,32.0,62,8,1,7,0,46.7,0.31,-15.3,-0.48,198,478,41.4,106,45.2,37.1,301,18,6.0,16,0.5,12.9,6.02,2880.0,1.94,129,74,58.1,5,13,14,7,21.9,9,0,1
29,28.0,46,5,1,8,1,44.9,0.28,-0.1,0.0,120,316,38.0,163,33.7,33.3,243,25,10.3,13,0.46,12.8,6.09,2520.0,1.64,143,102,71.3,10,5,13,4,14.3,7,2,0
28,14.0,21,1,0,2,0,16.1,0.3,-4.9,-0.35,49,109,45.0,69,23.8,30.0,88,7,8.0,15,1.07,16.9,6.23,1261.0,1.5,48,28,58.3,9,1,3,2,15.4,2,1,0
30,29.7,32,4,0,4,2,28.1,0.25,-1.9,-0.06,118,203,58.1,130,21.0,29.1,241,17,7.1,24,0.81,14.7,6.22,2677.0,1.08,95,67,70.5,16,8,6,5,16.7,6,2,0
